Part_ID,Testing_Year,Item,Response_produced,Accuracy,Accuracy_DOM_coder_2,Response_Type,Coding_Status,Coder,Notes
H01,2023,Prod-01,un niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H01,2023,Prod-04,oh la niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,oh as exclamation
H01,2023,Prod-08,el perro y la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,uh as hesitation
H01,2023,Prod-12,uhh su niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,He says uhh expressing hesitation (but not 'a')
H01,2023,Prod-16,la mamá ve el bebé,0,0,"Full DP, no DOM",Consensus - scored,Jorge,Some uhh hesitation sound
H01,2023,Prod-20,ve la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H01,2023,Prod-24,el perro ver los niñas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H01,2023,Prod-27,la mamá ver los niñas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H02,2023,Prod-01,puede ver nosotros porque está mirando la frente,0,0,"Full DP, no DOM",Consensus - scored,Jorge,Participant gives a long explanation first. I coded the second answer after the researcher asks again.
H02,2023,Prod-04,el niño y también puede ver la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,Participant gives a long explanation first
H02,2023,Prod-16,la mamá ve el niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H02,2023,Prod-24,el perro puede ver los niñas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H02,2023,Prod-27,la mamá puede ver los niños,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H03,2023,Prod-01,la niña y el mujer... la mujer,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H03,2023,Prod-04,eh el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,eh as hesitation
H03,2023,Prod-08,uhh el perro y la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,uhh as hesitation
H03,2023,Prod-12,el niño feliz,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H03,2023,Prod-16,el bebé,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
